,DATE,HDI,TC,TD,STI,Population,GDPCAP
17790,4/28/2020,0.5920000000000001,7.34601021,2.397895273,4.127779338,17.25184806,8.349396831
17791,4/29/2020,0.5920000000000001,7.421177528999999,2.772588722,4.127779338,17.25184806,8.349396831
17792,4/30/2020,0.5920000000000001,7.421177528999999,2.772588722,4.127779338,17.25184806,8.349396831
17793,5/1/2020,0.5920000000000001,7.637234389,2.833213344,4.127779338,17.25184806,8.349396831
17794,5/2/2020,0.5920000000000001,7.637234389,2.833213344,4.127779338,17.25184806,8.349396831
17795,5/3/2020,0.5920000000000001,7.682021511,2.890371758,4.127779338,17.25184806,8.349396831
17796,5/4/2020,0.5920000000000001,7.682021511,2.890371758,4.127779338,17.25184806,8.349396831
17797,5/5/2020,0.5920000000000001,7.908019445,2.890371758,4.127779338,17.25184806,8.349396831
17798,5/6/2020,0.5920000000000001,7.908019445,2.890371758,4.127779338,17.25184806,8.349396831
17799,5/7/2020,0.5920000000000001,8.036249942000001,2.890371758,4.127779338,17.25184806,8.349396831
17800,5/8/2020,0.5920000000000001,8.036249942000001,2.890371758,4.127779338,17.25184806,8.349396831
17801,5/9/2020,0.5920000000000001,8.297045149,2.890371758,4.127779338,17.25184806,8.349396831
17802,5/10/2020,0.5920000000000001,8.357728417,3.091042453,4.127779338,17.25184806,8.349396831
17803,5/11/2020,0.5920000000000001,8.357728417,3.091042453,4.127779338,17.25184806,8.349396831
17804,5/12/2020,0.5920000000000001,8.455317788,3.091042453,4.127779338,17.25184806,8.349396831
17805,5/13/2020,0.5920000000000001,8.542275972,3.091042453,4.127779338,17.25184806,8.349396831
17806,5/14/2020,0.5920000000000001,8.595634618,3.17805383,4.127779338,17.25184806,8.349396831
17807,5/15/2020,0.5920000000000001,8.617943095,3.17805383,4.127779338,17.25184806,8.349396831
17808,5/16/2020,0.5920000000000001,8.637284672,3.33220451,4.127779338,17.25184806,8.349396831
17809,5/17/2020,0.5920000000000001,8.65434303,3.36729583,4.127779338,17.25184806,8.349396831
17810,5/18/2020,0.5920000000000001,8.65434303,3.36729583,4.127779338,17.25184806,8.349396831
17811,5/19/2020,0.5920000000000001,8.65434303,3.36729583,4.127779338,17.25184806,8.349396831
17812,5/20/2020,0.5920000000000001,8.715388097,3.433987204,4.127779338,17.25184806,8.349396831
17813,5/21/2020,0.5920000000000001,8.743372131000001,3.433987204,4.127779338,17.25184806,8.349396831
17814,5/22/2020,0.5920000000000001,8.777401287,3.433987204,4.127779338,17.25184806,8.349396831
17815,5/23/2020,0.5920000000000001,8.797397373999999,3.433987204,4.127779338,17.25184806,8.349396831
17816,5/24/2020,0.5920000000000001,8.797397373999999,3.433987204,4.127779338,17.25184806,8.349396831
17817,5/25/2020,0.5920000000000001,8.807322268,3.465735903,4.127779338,17.25184806,8.349396831
17818,5/26/2020,0.5920000000000001,8.82585367,3.465735903,4.033886593,17.25184806,8.349396831
17819,5/27/2020,0.5920000000000001,8.870241567,3.526360525,4.033886593,17.25184806,8.349396831
17820,5/28/2020,0.5920000000000001,8.896040502,3.526360525,4.033886593,17.25184806,8.349396831
17821,5/29/2020,0.5920000000000001,8.896040502,3.526360525,4.033886593,17.25184806,8.349396831
17822,5/30/2020,0.5920000000000001,8.938006576,3.526360525,4.033886593,17.25184806,8.349396831
17823,5/31/2020,0.5920000000000001,8.95776801,3.555348061,4.033886593,17.25184806,8.349396831
17824,6/1/2020,0.5920000000000001,8.995908761,3.583518938,4.033886593,17.25184806,8.349396831
